dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
B054,0.4162038789443843,0.5014831936654236,1.9943019943019942,7,55.197491830824774,97.06038881758131,31004.0,0,0.0
B055,0.360175231857046,0.4519480999975267,1.1396011396011396,4,49.422061970988004,97.46145749489196,15741.0,0,0.0
B056,0.29773267725344144,0.3802721291764312,0.5698005698005698,2,30.079019891222664,97.53699108537818,10613.0,0,0.0
B057,0.29861994957479704,0.3643267217856821,1.4245014245014245,5,35.55142831979253,97.36301596766714,14695.0,0,0.0
B058,0.3031013621330848,0.35353984451296955,1.4245014245014245,5,30.960184931859697,97.73707773707774,12007.0,0,0.0
B059,0.24703224109870695,0.3018791425294683,0.8547008547008548,3,27.167135933315983,97.55372842722241,23967.0,0,0.0
B060,0.3143125141619285,0.398299733898087,1.1396011396011396,4,34.26009312679252,97.65328269126424,7199.0,0,0.0
B061,0.33800744012921774,0.4355401161522806,0.8547008547008548,3,35.76262731021003,97.8021978021978,9612.0,0,0.0
B062,0.3521841665862262,0.42519182520184173,0.8547008547008548,3,42.00231487956951,97.38765856804989,18118.0,0,0.0
B063,0.3598043147586772,0.42604061109168756,1.4245014245014245,5,45.617234076191345,97.64309764309765,18850.0,0,0.0
B064,0.24365264226791863,0.29982464156272665,1.9943019943019942,7,26.279153861185524,97.18225563189773,40594.0,0,0.0
B065,0.3215622281161378,0.3950940348053198,1.1396011396011396,4,37.55916385795491,97.65574407460174,7540.0,0,0.0
B066,0.2611100243516086,0.31420681552581814,1.4245014245014245,5,31.36454808639802,97.54618141714916,21228.0,0,0.0
B067,0.382861727677429,0.4983354670560263,0.8547008547008548,3,35.86760815348041,97.3981578197702,20514.0,0,0.0
B068,0.3835996421062856,0.4804001270186989,1.4245014245014245,5,34.51858606376699,97.1775257188077,18420.0,0,0.0
B069,0.2442817132883168,0.29218144694063536,1.4245014245014245,5,27.559043107028604,97.3934858406327,22905.0,0,0.0
B070,0.39130842408743605,0.49587939315970925,0.5698005698005698,2,52.96548378111024,97.74762550881954,7204.0,0,0.0
B071,0.2664988640390411,0.34982200111199724,1.1396011396011396,4,34.04451768658883,97.71151837432342,10290.0,0,0.0
B072,0.3061640239603617,0.3680322324727795,1.1396011396011396,4,28.71144460590506,97.15588053748635,20462.0,0,0.0
B073,0.24324124940326783,0.29037522115403763,1.9943019943019942,7,24.803735486376198,97.14076246334311,46375.0,0,0.0
B074,0.33761970210335424,0.42265535399699816,1.4245014245014245,5,33.682043500918255,97.43123772102162,19837.0,0,0.0
