dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
C083,0.045351879222649105,0.05617402758811606,1.4245014245014245,5,4.479023741850342,71.60105780128447,94764.0,0,0.0
C084,0.05819746196263596,0.06760688594778035,1.4245014245014245,5,5.794238958016828,71.98383499494844,37762.0,0,0.0
C085,0.059820424825302226,0.07341988031359764,1.7094017094017095,6,5.975379987502365,69.07513667374509,76442.0,0,0.0
C086,0.049973405587284164,0.06510957871408442,0.8547008547008548,3,5.074752260793719,80.47565437658318,28593.0,0,0.0
C087,0.044468692643602384,0.05575164736914949,0.5698005698005698,2,4.451091410032505,87.00831295843521,44483.0,0,0.0
C088,0.05086502553689566,0.06193052061106481,1.4245014245014245,5,5.088409770193114,71.25417503173475,79147.0,0,0.0
C089,0.04667245142922004,0.057116199494058224,1.4245014245014245,5,4.641368203506763,72.36231674879895,35095.0,0,0.0
C090,0.03769960374657443,0.051122628692158445,0.8547008547008548,3,3.8381815895583293,80.49087726742336,60703.0,0,0.0
C091,0.053174845755090044,0.06440833352329033,1.1396011396011396,4,5.365757942542575,75.31988686106808,44737.0,0,0.0
C092,0.055418802121713254,0.06757185522472588,1.4245014245014245,5,5.5002940240009774,72.14054908342656,92205.0,0,0.0
C093,0.05849009313113303,0.07397861580852537,0.5698005698005698,2,5.833704483131817,87.00020658440852,46325.0,0,0.0
C094,0.058418130232735295,0.07387483284588593,1.1396011396011396,4,5.899408284820509,74.90614024464091,18555.0,0,0.0
C095,0.04456653136168412,0.057593475016211815,1.9943019943019942,7,4.412253574329812,67.94562815327524,81477.0,0,0.0
C096,0.04872105584939318,0.06641609537026419,1.1396011396011396,4,4.997979583058626,74.33075453986339,45926.0,0,0.0
C097,0.07307097918434613,0.09213750843966544,1.1396011396011396,4,7.318246271616497,75.1113577164347,48733.0,0,0.0
C098,0.05775560655574522,0.07155881230904267,1.4245014245014245,5,5.72909590633153,71.85695926235695,35225.0,0,0.0
C099,0.0418726898556972,0.05327662093733762,1.1396011396011396,4,4.219975257748875,74.18866228928411,102367.0,0,0.0
C100,0.04892759461975916,0.06035317491313221,0.5698005698005698,2,4.965868168784555,87.09272916622388,40978.0,0,0.0
D001,0.05276787470642403,0.06492849001429744,1.4245014245014245,5,5.267150933700901,71.15285352005206,31705.0,0,0.0
D002,0.18452555059618853,0.19563328608198144,1.1396011396011396,4,18.091396207245857,70.83459716745608,91077.0,0,0.0
D003,0.2835166224071859,0.2903745650954944,1.1396011396011396,4,28.110767511549977,70.1472515130717,112425.0,0,0.0
D004,0.21214401434820748,0.2569560619964771,0.8547008547008548,3,19.94446651281652,76.48285861278706,81764.0,0,0.0
D005,0.04042754002919732,0.04947042410531037,1.7094017094017095,6,4.0797131293822915,69.55700575239182,185247.0,0,0.0
D006,0.04639731735451673,0.05727887616367098,1.1396011396011396,4,4.753877318722964,74.3336362259579,39266.0,0,0.0
D007,0.313300952091803,0.3698606138209637,1.7094017094017095,6,28.73844785236686,57.72438118032374,91649.0,0,0.0
D008,0.12513908235938376,0.15044388875026624,1.4245014245014245,5,11.904396141508848,70.23217166983893,72691.0,0,0.0
D009,0.050045155610560436,0.06340568063693201,1.4245014245014245,5,4.977744796583097,71.66396436525613,201107.0,0,0.0
D010,0.27353304799189126,0.28196744119936595,1.7094017094017095,6,27.02991680645245,65.6236717177666,128144.0,0,0.0
D011,0.22904168807754371,0.23892078224027535,1.1396011396011396,4,22.5785682721653,71.66142873426585,44008.0,0,0.0
D012,,,1.4245014245014245,5,,100.0,6894.0,0,0.0
D013,0.0572239162322332,0.06868001320963307,1.4245014245014245,5,5.8908029594150815,71.89844581046607,76377.0,0,0.0
D014,0.2296072708209391,0.23835853242939778,0.5698005698005698,2,22.636657804642887,85.6205052275337,113341.0,0,0.0
D015,0.12883005366397018,0.1420892921107122,1.9943019943019942,7,12.5398671311277,65.268512696379,138054.0,0,0.0
D016,0.3753431656343732,0.3929486661613116,0.8547008547008548,3,36.53767500355966,74.3865078620776,95182.0,0,0.0
D017,0.2307465166777043,0.2384389985491134,0.5698005698005698,2,22.845427889283584,85.50487763762561,116662.0,0,0.0
D018,0.17607812292288366,0.1831202372410714,1.4245014245014245,5,17.861381542734318,76.15338921523332,46152.0,0,0.0
D019,4.586604404959559,4.628638204453115,1.4245014245014245,5,1350.8179441534444,94.03280143632365,46613.0,0,0.0
D020,0.043544202652388474,0.05324878190926609,1.1396011396011396,4,4.414608129451969,78.27237532058089,47916.0,0,0.0
D021,0.047786522876331936,0.0610583169927813,1.1396011396011396,4,4.740185642518977,74.02753058771762,225439.0,0,0.0
D022,2.721539031291046,2.7597007547476835,0.8547008547008548,3,659.6385920863784,93.30569819959166,30162.0,0,0.0
D023,,,0.8547008547008548,3,,100.0,1499.0,0,0.0
D024,0.5619987569241476,0.5904487387325048,1.1396011396011396,4,66.27383036248014,82.33106620345451,33652.0,0,0.0
D025,0.06611950365662835,0.07952019946984752,1.7094017094017095,6,6.468562250077513,70.68257102815645,88766.0,0,0.0
D026,0.05308652292421208,0.06578396682708927,1.9943019943019942,7,5.367834770780273,67.84292304475294,158977.0,0,0.0
D027,100.63196556195811,106.08983541402957,1.1396011396011396,4,1281.4614444869494,99.25373134328358,2926.0,0,0.0
D028,0.23002881635346753,0.23967417538090544,0.8547008547008548,3,22.716934429703105,77.94840230760404,149438.0,0,0.0
D029,0.2029347591178048,0.24792711114323449,0.5698005698005698,2,23.501950956446287,88.77189600751753,36843.0,0,0.0
